e-SUS - Atenção Primária
MINISTÉRIO DA SAÚDE
ESTADO DE SÃO PAULO
MUNICÍPIO DE AMERICANA
UNIDADE DE SAÚDE CAFI CENTRO DE ASSISTENCIA A FAMILIA E AO IDOSO

Relatório de atendimento individual - Analítico

FILTROS
Período;01/05/2026 a 31/05/2026
Equipe;0002200376 - EQUIPE 9 EAP
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;13/06/2026; às ;00:45;
Gerado em ;13/06/2026; às ;17:50; por ;Rodrigo Alexander Diaz Leon


Resumo de produção
Descrição;Quantidade;
Registros identificados;540;
Registros não identificados;0;

Dados gerais
Descrição;Sim;Não;Não informado;
Ficou em observação;0;540;0;
Gravidez planejada;2;0;538;
Vacinação em dia;29;0;511;

Turno
Descrição;Quantidade;
Manhã;290;
Tarde;249;
Noite;0;
Não informado;1;

Sexo
Descrição;Quantidade;
Masculino;169;
Feminino;371;
Indeterminado;0;
Não informado;0;

Faixa etária
Descrição;Masculino;Feminino;Indeterminado;Não informado;
Menos de 01 ano;13;15;0;0;
01 ano;1;3;0;0;
02 anos;3;1;0;0;
03 anos;2;1;0;0;
04 anos;0;2;0;0;
05 a 09 anos;9;7;0;0;
10 a 14 anos;2;5;0;0;
15 a 19 anos;3;3;0;0;
20 a 24 anos;3;8;0;0;
25 a 29 anos;4;13;0;0;
30 a 34 anos;4;11;0;0;
35 a 39 anos;6;15;0;0;
40 a 44 anos;6;23;0;0;
45 a 49 anos;7;30;0;0;
50 a 54 anos;6;32;0;0;
55 a 59 anos;10;19;0;0;
60 a 64 anos;12;28;0;0;
65 a 69 anos;17;47;0;0;
70 a 74 anos;19;27;0;0;
75 a 79 anos;22;37;0;0;
80 anos ou mais;20;44;0;0;
Não informado;0;0;0;0;

Local de atendimento
Descrição;Quantidade;
Domicílio;0;
Escola / Creche;0;
Instituição / Abrigo;0;
Polo (Academia da saúde);0;
Rua;0;
UBS;540;
Unidade móvel;0;
Unidade prisional ou congêneres;0;
Unidade socioeducativa;0;
Outros;0;
Não informado;0;

Tipo de atendimento
Descrição;Quantidade;
Atendimento de urgência;8;
Consulta agendada;384;
Consulta agendada programada / Cuidado continuado;5;
Consulta no dia;143;
Escuta inicial / Orientação;0;
Não informado;0;

Atenção domiciliar
Descrição;Quantidade;
AD1;0;
AD2;0;
AD3;0;
Não informado;540;

Racionalidade em saúde
Descrição;Quantidade;
Medicina tradicional chinesa;0;
Antroposofia aplicada à saúde;0;
Homeopatia;0;
Fitoterapia;0;
Ayurveda;0;
Outra;0;
Não informado;540;

Criança - Aleitamento materno
Descrição;Quantidade;
Exclusivo;3;
Predominante;2;
Complementado;2;
Inexistente;2;
Não informado;531;

NASF / Polo
A lista apresenta registros do LEDI anteriores à versão 5.5.0.
Descrição;Quantidade;
Avaliação / Diagnóstico;0;
Procedimentos clínicos / Terapêutico;0;
Prescrição terapêutica;0;
Não informado;0;

eMulti / Polo
A lista apresenta registros do LEDI versão 5.5.0 ou superior.
Descrição;Quantidade;
Avaliação / Diagnóstico;0;
Procedimentos clínicos / Terapêutico;0;
Prescrição terapêutica;0;
Não informado;540;

Conduta / Desfecho
Descrição;Quantidade;
Retorno para consulta agendada;206;
Retorno para cuidado continuado / programado;2;
Agendamento para grupos;62;
Agendamento para NASF;0;
Agendamento para eMulti;0;
Alta do episódio;335;
Não informado;0;

Encaminhamento
Descrição;Quantidade;
Encaminhamento interno no dia;1;
Encaminhamento para serviço especializado;82;
Encaminhamento para CAPS;0;
Encaminhamento para internação hospitalar;0;
Encaminhamento para urgência;0;
Encaminhamento para serviço de atenção domiciliar;0;
Encaminhamento intersetorial;0;
Não informado;457;

Problemas / Condições avaliadas
Descrição;Quantidade;
Asma;0;
Cardiopatia;0;
Catarata;0;
Desnutrição;0;
Diabetes;0;
DPOC;0;
Hipertensão arterial;0;
Nefropatia;0;
Neoplasia;0;
Obesidade;0;
Pré-natal;0;
Puericultura;0;
Puerpério (até 42 dias);0;
Reabilitação;0;
Saúde mental;0;
Saúde sexual e reprodutiva;0;
Tabagismo;0;
Usuário de álcool;0;
Usuário de outras drogas;0;

Problemas / Condições avaliadas - Doenças transmissíveis, infecciosas e parasitárias
Descrição;Quantidade;
Dengue;0;
Doença diarréica aguda;0;
Hanseníase;0;
Hepatites A/B/C;0;
IST;0;
Malária;0;
Sífilis feminina;0;
Sífilis masculina;0;
Síndrome respiratória;0;
Toxoplasmose /  Tungíase;0;
Tracoma;0;
Tuberculose;0;

Problemas / Condições avaliadas - Rastreamento
Descrição;Quantidade;
Câncer do colo do útero;0;
Câncer de mama;0;
Risco cardiovascular;0;

Problemas / Condições avaliadas - Outros CIAP2
Descrição;Quantidade;
A93 - RECÉM NASCIDO PREMATURO;1;
A97 - SEM DOENÇA;63;
A98 - MEDICINA PREVENTIVA/MANUTENÇÃO DA SAÚDE;16;
ABP004 - PUERICULTURA;15;
K25 - MEDO DE HIPERTENSÃO;1;
K85 - PRESSÃO ARTERIAL ELEVADA;2;
K86 - HIPERTENSÃO SEM COMPLICAÇÕES;1;
L01 - SINAIS/SINTOMAS DO PESCOÇO;11;
L02 - SINAIS/SINTOMAS DA REGIÃO DORSAL;1;
L03 - SINAIS/SINTOMAS DA REGIÃO LOMBAR;11;
L08 - SINAIS/SINTOMAS DOS OMBROS;18;
L11 - SINAIS/SINTOMAS DOS PUNHOS;1;
L12 - SINAIS/SINTOMAS DAS MÃOS E DEDOS;6;
L13 - SINAIS/SINTOMAS DO QUADRIL;2;
L14 - SINAIS/SINTOMAS DA COXA/PERNA;3;
L15 - SINAIS/SINTOMAS DO JOELHO;1;
L17 - SINAIS/SINTOMAS DO PÉ/DEDOS PÉ;3;
L18 - DORES MUSCULARES;43;
L28 - LIMITAÇÃO FUNCIONAL/INCAPACIDADE;5;
L83 - DOENÇAS OU SÍNDROMES DA COLUNA CERVICAL;1;
L90 - OSTEOARTROSE DO JOELHO;9;
N99 - OUTRAS DOENÇAS DO SISTEMA NEUROLÓGICO;9;
P01 - SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO;7;
P03 - TRISTEZA/ SENSAÇÃO DE DEPRESSÃO;2;
P25 - PROBLEMAS DA FASE DE VIDA DE ADULTO;1;
P74 - DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDADE;2;
P76 - PERTURBAÇÕES DEPRESSIVAS;1;
P99 - OUTRAS PERTURBAÇÕES PSICOLÓGICAS;1;
T08 - PERDA DE PESO;1;
T89 - DIABETES INSULINO-DEPENDENTE;1;
T90 - DIABETES NÃO INSULINO-DEPENDENTE;2;
W14 - CONTRACEPÇÃO/OUTROS;23;
W78 - GRAVIDEZ;2;

Problemas / Condições avaliadas - Outros CID10
Descrição;Quantidade;
A09 - DIARRÉIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMÍVEL;1;
B80 - OXIURÍASE;1;
D225 - NEVO MELANOCÍTICO DO TRONCO;1;
D414 - NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DA BEXIGA;1;
D649 - ANEMIA NÃO ESPECIFICADA;1;
D752 - TROMBOCITOSE ESSENCIAL;2;
E03 - OUTROS HIPOTIREOIDISMOS;1;
E07 - OUTROS TRANSTORNOS DA TIREÓIDE;2;
E079 - TRANSTORNO NÃO ESPECIFICADO DA TIREÓIDE;1;
E10 - DIABETES MELLITUS INSULINO-DEPENDENTE;12;
E108 - DIABETES MELLITUS INSULINO-DEPENDENTE - COM COMPLICAÇÕES NÃO ESPECIFICADAS;1;
E11 - DIABETES MELLITUS NÃO-INSULINO-DEPENDENTE;31;
E119 - DIABETES MELLITUS NÃO-INSULINO-DEPENDENTE - SEM COMPLICAÇÕES;1;
E611 - DEFICIÊNCIA DE FERRO;1;
E66 - OBESIDADE;2;
E78 - DISTÚRBIOS DO METABOLISMO DE LIPOPROTEÍNAS E OUTRAS LIPIDEMIAS;3;
E831 - DOENÇA DO METABOLISMO DO FERRO;1;
F00 - DEMÊNCIA NA DOENÇA DE ALZHEIMER;1;
F20 - ESQUIZOFRENIA;1;
F41 - OUTROS TRANSTORNOS ANSIOSOS;4;
F840 - AUTISMO INFANTIL;1;
F841 - AUTISMO ATÍPICO;1;
G309 - DOENÇA DE ALZHEIMER NÃO ESPECIFICADA;1;
G40 - EPILEPSIA;2;
G408 - OUTRAS EPILEPSIAS;1;
H52 - TRANSTORNOS DA REFRAÇÃO E DA ACOMODAÇÃO;4;
H521 - MIOPIA;1;
H54 - CEGUEIRA E VISÃO SUBNORMAL;1;
H540 - CEGUEIRA, AMBOS OS OLHOS;1;
H542 - VISÃO SUBNORMAL DE AMBOS OS OLHOS;2;
H544 - CEGUEIRA EM UM OLHO;1;
H546 - PERDA NÃO QUALIFICADA DA VISÃO EM UM OLHO;1;
H830 - LABIRINTITE;1;
H91 - OUTRAS PERDAS DE AUDIÇÃO;1;
H920 - OTALGIA;2;
H931 - TINNITUS;1;
I10 - HIPERTENSÃO ESSENCIAL (PRIMÁRIA);82;
I652 - OCLUSÃO E ESTENOSE DA ARTÉRIA CARÓTIDA;1;
I872 - INSUFICIÊNCIA VENOSA (CRÔNICA) (PERIFÉRICA);7;
J02 - FARINGITE AGUDA;2;
J03 - AMIGDALITE AGUDA;1;
J040 - LARINGITE AGUDA;1;
J069 - INFECÇÃO AGUDA DAS VIAS AÉREAS SUPERIORES NÃO ESPECIFICADA;4;
J11 - INFLUENZA (GRIPE) DEVIDA A VÍRUS NÃO IDENTIFICADO;6;
J18 - PNEUMONIA POR MICROORGANISMO NÃO ESPECIFICADA;1;
J34 - OUTROS TRANSTORNOS DO NARIZ E DOS SEIOS PARANASAIS;1;
J45 - ASMA;7;
J450 - ASMA PREDOMINANTEMENTE ALÉRGICA;1;
K21 - DOENÇA DE REFLUXO GASTROESOFÁGICO;2;
K42 - HÉRNIA UMBILICAL;1;
K50 - DOENÇA DE CROHN [ENTERITE REGIONAL];1;
K590 - CONSTIPAÇÃO;1;
K591 - DIARRÉIA FUNCIONAL;1;
K80 - COLELITÍASE;2;
K82 - OUTRAS DOENÇAS DA VESÍCULA BILIAR;1;
K921 - MELENA;1;
K922 - HEMORRAGIA GASTROINTESTINAL, SEM OUTRA ESPECIFICAÇÃO;1;
L029 - ABSCESSO CUTÂNEO, FURÚNCULO E ANTRAZ DE LOCALIZAÇÃO NÃO ESPECIFICADA;2;
L309 - DERMATITE NÃO ESPECIFICADA;1;
L70 - ACNE;1;
L98 - OUTRAS AFECÇÕES DA PELE E DO TECIDO SUBCUTÂNEO NÃO CLASSIFICADAS EM OUTRA PARTE;1;
L989 - AFECÇÕES DA PELE E DO TECIDO SUBCUTÂNEO, NÃO ESPECIFICADOS;3;
M16 - COXARTROSE [ARTROSE DO QUADRIL];4;
M23 - TRANSTORNOS INTERNOS DOS JOELHOS;4;
M542 - CERVICALGIA;2;
M544 - LUMBAGO COM CIÁTICA;2;
M545 - DOR LOMBAR BAIXA;5;
M75 - LESÕES DO OMBRO;3;
M796 - DOR EM MEMBRO;3;
M797 - FIBROMIALGIA;2;
N18 - INSUFICIÊNCIA RENAL CRÔNICA;1;
N30 - CISTITE;3;
N394 - OUTRAS INCONTINÊNCIAS URINÁRIAS ESPECIFICADAS;1;
N40 - HIPERPLASIA DA PRÓSTATA;1;
N946 - DISMENORRÉIA NÃO ESPECIFICADA;1;
N950 - SANGRAMENTO PÓS-MENOPAUSA;1;
N951 - ESTADO DA MENOPAUSA E DO CLIMATÉRIO FEMININO;2;
N97 - INFERTILIDADE FEMININA;1;
Q674 - OUTRAS DEFORMIDADES CONGÊNITAS DO CRÂNIO, DA FACE E DA MANDÍBULA;1;
R000 - TAQUICARDIA NÃO ESPECIFICADA;2;
R011 - SOPRO CARDÍACO, NÃO ESPECIFICADO;2;
R05 - TOSSE;1;
R073 - OUTRA DOR TORÁCICA;2;
R074 - DOR TORÁCICA, NÃO ESPECIFICADA;3;
R10 - DOR ABDOMINAL E PÉLVICA;4;
R22 - TUMEFAÇÃO, MASSA OU TUMORAÇÃO LOCALIZADAS DA PELE E DO TECIDO SUBCUTÂNEO;3;
R39 - OUTROS SINTOMAS E SINAIS RELATIVOS AO APARELHO URINÁRIO;1;
